,slide_id,train,val,test
2233,PATH000005899,False,False,True
2234,PATH000001952,False,False,True
2235,PATH000001837,False,False,True
2236,PATH000009588,False,False,True
2237,PATH000006336,False,False,True
2238,PATH000009658,False,False,True
2239,PATH000003538,False,False,True
2240,PATH000009692,False,False,True
2241,PATH000004220,False,False,True
2242,PATH000002730,False,False,True
2243,PATH000008919,False,False,True
2244,PATH000006853,False,False,True
2245,PATH000001609,False,False,True
2246,PATH000009231,False,False,True
2247,PATH000003192,False,False,True
2248,PATH000003728,False,False,True
2249,PATH000009547,False,False,True
2250,PATH000006871,False,False,True
2251,PATH000006139,False,False,True
2252,PATH000003249,False,False,True
2253,PATH000005910,False,False,True
2254,PATH000006196,False,False,True
2255,PATH000009375,False,False,True
2256,PATH000003027,False,False,True
2257,PATH000009113,False,False,True
2258,PATH000004686,False,False,True
2259,PATH000009461,False,False,True
2260,PATH000005779,False,False,True
2261,PATH000008891,False,False,True
2262,PATH000008488,False,False,True
2263,PATH000002877,False,False,True
2264,PATH000005256,False,False,True
2265,PATH000005848,False,False,True
2266,PATH000003612,False,False,True
2267,PATH000002951,False,False,True
2268,PATH000009812,False,False,True
2269,PATH000001417,False,False,True
2270,PATH000009507,False,False,True
2271,PATH000001745,False,False,True
2272,PATH000008860,False,False,True
2273,PATH000001787,False,False,True
2274,PATH000003152,False,False,True
2275,PATH000006154,False,False,True
2276,PATH000001730,False,False,True
2277,PATH000009339,False,False,True
2278,PATH000005449,False,False,True
2279,PATH000008367,False,False,True
2280,PATH000009669,False,False,True
2281,PATH000008940,False,False,True
2282,PATH000006127,False,False,True
2283,PATH000003350,False,False,True
2284,PATH000006925,False,False,True
2285,PATH000001419,False,False,True
2286,PATH000003093,False,False,True
2287,PATH000007727,False,False,True
2288,PATH000004446,False,False,True
2289,PATH000001439,False,False,True
2290,PATH000009770,False,False,True
2291,PATH000009079,False,False,True
2292,PATH000007978,False,False,True
2293,PATH000007685,False,False,True
2294,PATH000003745,False,False,True
2295,PATH000009227,False,False,True
2296,PATH000008840,False,False,True
2297,PATH000002927,False,False,True
2298,PATH000004430,False,False,True
2299,PATH000009571,False,False,True
2300,PATH000002996,False,False,True
2301,PATH000006323,False,False,True
2302,PATH000008293,False,False,True
2303,PATH000009270,False,False,True
2304,PATH000007057,False,False,True
2305,PATH000005065,False,False,True
2306,PATH000007553,False,False,True
2307,PATH000003230,False,False,True
2308,PATH000001593,False,False,True
2309,PATH000004684,False,False,True
2310,PATH000007826,False,False,True
2311,PATH000008925,False,False,True
2312,PATH000005695,False,False,True
2313,PATH000001814,False,False,True
2314,PATH000004210,False,False,True
2315,PATH000003659,False,False,True
2316,PATH000007310,False,False,True
2317,PATH000004636,False,False,True
2318,PATH000004423,False,False,True
2319,PATH000001766,False,False,True
2320,PATH000007278,False,False,True
2321,PATH000001585,False,False,True
2322,PATH000003767,False,False,True
2323,PATH000003344,False,False,True
2324,PATH000005022,False,False,True
2325,PATH000008476,False,False,True
2326,PATH000003833,False,False,True
2327,PATH000001494,False,False,True
2328,PATH000009169,False,False,True
2329,PATH000007718,False,False,True
2330,PATH000005937,False,False,True
2331,PATH000003530,False,False,True
2332,PATH000005151,False,False,True
597,PATH000009982,False,False,True
598,PATH000004496,False,False,True
599,PATH000004636,False,False,True
600,PATH000005094,False,False,True
601,PATH000009954,False,False,True
602,PATH000007728,False,False,True
603,PATH000004034,False,False,True
604,PATH000009288,False,False,True
605,PATH000007844,False,False,True
606,PATH000004778,False,False,True
607,PATH000007414,False,False,True
608,PATH000004968,False,False,True
609,PATH000008604,False,False,True
610,PATH000003582,False,False,True
611,PATH000005096,False,False,True
612,PATH000007930,False,False,True
613,PATH000003842,False,False,True
614,PATH000003346,False,False,True
615,PATH000009196,False,False,True
616,PATH000005933,False,False,True
617,PATH000003479,False,False,True
618,PATH000003025,False,False,True
619,PATH000008774,False,False,True
620,PATH000008293,False,False,True
621,PATH000003407,False,False,True
622,PATH000008950,False,False,True
623,PATH000006323,False,False,True
624,PATH000001439,False,False,True
625,PATH000008639,False,False,True
626,PATH000002949,False,False,True
627,PATH000003753,False,False,True
628,PATH000003695,False,False,True
629,PATH000004826,False,False,True
630,PATH000004780,False,False,True
631,PATH000001428,False,False,True
632,PATH000001818,False,False,True
633,PATH000002684,False,False,True
634,PATH000004529,False,False,True
635,PATH000001494,False,False,True
636,PATH000009364,False,False,True
637,PATH000009818,False,False,True
638,PATH000009704,False,False,True
639,PATH000005159,False,False,True
640,PATH000007452,False,False,True
641,PATH000007319,False,False,True
642,PATH000003768,False,False,True
643,PATH000006016,False,False,True
644,PATH000001444,False,False,True
645,PATH000001433,False,False,True
